code,name.x,longitude,latitude,year,type
DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969,private
DOM-MAC,San Pedro de Macorís ,18.45274371,-69.28915784,1973,public
DOM-S12,Santiago ,19.47670339,-70.72489004,1974,mix
DOM-PUE,Puerto Plata ,19.80291323,-70.72350803,1983,mix
DOM-BAN,Baní ,18.25315476,-70.40511741,1986,private
DOM-CRI,San Cristóbal (Itabo) ,18.38627302,-70.04084591,1986,private
DOM-ISI,San Isidro ,18.50033327,-69.7873092,1986,private
DOM-RII,La Romana II ,18.44349389,-68.97852859,1987,private
DOM-VEG,La Vega ,19.24673204,-70.55649026,1987,public
DOM-ALT,Villa Altagracia ,18.68704785,-70.18063175,1988,private
DOM-BON,Bonao ,18.92425177,-70.40416473,1988,public
DOM-CHE,Chemtec ,18.45851329,-69.28651371,1988,private
DOM-ESP,Esperanza ,19.59381238,-70.97901224,1988,public
DOM-HAI,Hainamosa ,18.51389836,-69.81584618,1988,private
DOM-BAR,Barahona ,18.22153648,-71.10145235,1989,public
DOM-LAS,Las Américas ,18.46024249,-69.7068226,1989,private
DOM-MEL,Villa Mella ,18.522265,-69.90166418,1989,public
DOM-MOC,Moca  ,19.39023321,-70.5372859,1989,public
DOM-NIG,Nigua ,18.39069362,-70.04615509,1989,private
DOM-ALC,Los Alcarrizos ,18.52119218,-70.05086541,1990,public
DOM-ARM,La Armería ,18.42129421,-70.11766012,1990,public
DOM-FRA,San Francisco de Macorís ,19.27537126,-70.28770858,1990,public
DOM-HAT,Hato Mayor ,18.76258519,-69.26597733,1990,public
DOM-PED,Pedernales ,18.03212506,-71.7361763,1991,public
DOM-GUR,Gurabo ,19.48857084,-70.658343,1993,private
DOM-PIS,Santiago-Navarrete (PISANO) ,19.50852054,-70.75994998,1993,private
DOM-SLI,Parque Tecnológico de Santiago ,19.4462542,-70.639953,1993,private
DOM-EXC,Excel Boca Chica ,18.45806505,-69.63004786,1995,private
DOM-GLO,Global Zona Franca Ind. ,18.53043559,-70.01195079,1995,private
DOM-NAV,Navarrete ,19.56817155,-70.87355309,1996,private
DOM-CIP,Caribbean Industrial Park ,19.410116,-70.661171,1997,private
DOM-ECO,Ecopark Industrial Free Zone ,19.43705956,-70.70483542,1997,private
DOM-PAM,Palmarejo ,19.53965534,-70.79354494,1997,private
DOM-TAM,Tamboril ,19.48142597,-70.63333181,1997,private
