asdf_id,worldpop_pop_count_1km_mosaic.2020.sum,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,80849.8984375,ADM2,0,0,DOM,DOM-ADM2-62336421B4129984,Constanza,ADM2
1,16611.4902344,ADM2,1,1,DOM,DOM-ADM2-62336421B77813703,Sabana De La Mar,ADM2
2,153291.390625,ADM2,2,2,DOM,DOM-ADM2-62336421B53492119,Moca,ADM2
3,30310.6601562,ADM2,3,3,DOM,DOM-ADM2-62336421B76783084,Bayaguana,ADM2
4,37616.5625,ADM2,4,4,DOM,DOM-ADM2-62336421B67057363,El Factor,ADM2
5,227513.859375,ADM2,5,5,DOM,DOM-ADM2-62336421B88781862,San Francisco De Macorís,ADM2
6,161437.453125,ADM2,6,6,DOM,DOM-ADM2-62336421B54168564,Puerto Plata,ADM2
7,7687.64501953,ADM2,7,7,DOM,DOM-ADM2-62336421B74290248,Jamao Al Norte,ADM2
8,6737.19677734,ADM2,8,8,DOM,DOM-ADM2-62336421B99119250,Las Matas de Santa Cruz,ADM2
9,31529.3046875,ADM2,9,9,DOM,DOM-ADM2-62336421B39975758,Jimaní,ADM2
10,167438.65625,ADM2,10,10,DOM,DOM-ADM2-62336421B40996189,Baní,ADM2
11,106330.84375,ADM2,11,11,DOM,DOM-ADM2-62336421B92290454,Villa Hermosa,ADM2
12,17283.7167969,ADM2,12,12,DOM,DOM-ADM2-62336421B96628190,El Cercado,ADM2
13,5913.4765625,ADM2,13,13,DOM,DOM-ADM2-62336421B60125690,Eugenio María De Hostos,ADM2
14,7404.60351562,ADM2,14,14,DOM,DOM-ADM2-62336421B62065221,Bohechío,ADM2
15,12144.5214844,ADM2,15,15,DOM,DOM-ADM2-62336421B63865508,Arenoso,ADM2
16,25910.6289062,ADM2,16,16,DOM,DOM-ADM2-62336421B3706850,Tábara Arriba,ADM2
17,36383.0859375,ADM2,17,17,DOM,DOM-ADM2-62336421B51467128,Vicente Noble,ADM2
18,27338.8007812,ADM2,18,18,DOM,DOM-ADM2-62336421B81143522,Consuelo,ADM2
19,57560.375,ADM2,19,19,DOM,DOM-ADM2-62336421B77754311,Puñal,ADM2
20,4029.53881836,ADM2,20,20,DOM,DOM-ADM2-62336421B7031628,Juan Santiago,ADM2
21,11264.3154297,ADM2,21,21,DOM,DOM-ADM2-62336421B66400184,La Descubierta,ADM2
22,212535.125,ADM2,22,22,DOM,DOM-ADM2-62336421B75913994,Boca Chica,ADM2
23,30070.6132812,ADM2,23,23,DOM,DOM-ADM2-62336421B90226291,Tenares,ADM2
24,21802.7050781,ADM2,24,24,DOM,DOM-ADM2-62336421B83253583,Villa Montellano,ADM2
25,51876.8203125,ADM2,25,25,DOM,DOM-ADM2-62336421B36707931,Sosúa,ADM2
26,16173.6923828,ADM2,26,26,DOM,DOM-ADM2-62336421B93961828,Las Charcas,ADM2
27,15821.2890625,ADM2,27,27,DOM,DOM-ADM2-62336421B38836089,Castañuelas,ADM2
28,56874.4765625,ADM2,28,28,DOM,DOM-ADM2-62336421B5029861,Jarabacoa,ADM2
29,57835.3828125,ADM2,29,29,DOM,DOM-ADM2-62336421B55956095,Jima Abajo,ADM2
30,17310.1503906,ADM2,30,30,DOM,DOM-ADM2-62336421B23343019,Pimentel,ADM2
31,66687.09375,ADM2,31,31,DOM,DOM-ADM2-62336421B66064530,Yamasá,ADM2
