code,name.x,longitude,latitude,year,type
DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000,public
DOM-CIB,Cibernético ,18.45320537,-69.66257273,2001,mix
DOM-HAN,Hato Nuevo ,18.53692314,-70.06254185,2001,public
DOM-MUL,Multimodal Caucedo ,18.42636819,-69.63506753,2002,private
DOM-PAL,La Palma ,19.47951791,-70.59727463,2004,private
DOM-VIS,Bella Vista ,18.61321459,-69.70844704,2004,private
DOM-HIS,La Hispaniola  ,18.92390206,-70.40485331,2005,private
DOM-LIM,El Limonal ,19.44195379,-70.63858151,2005,private
DOM-DOS,Dos Ríos  ,18.91241012,-70.37486281,2006,private
DOM-AND,Andrés ,18.44233642,-69.64978048,2009,private
DOM-INT,Interexport Free Zone ,18.21182991,-71.11042584,2010,private
DOM-CON,Conacado Industrial Park ,19.32373849,-70.27604128,2013,private
DOM-HER,Parque Z.F. Tecnológica de Herrera ,18.44047267,-69.9817525,2013,private
DOM-EMI,Zona Franca Industrial Emimar ,19.42494677,-70.62298095,2014,private
DOM-INF,ZF Ind. y de Servicios Norte Infiesto ,18.49179288,-69.98528116,2014,private
DOM-CTQ,Parque Industrial CTQ ,19.42740185,-70.5940585,2015,private
DOM-HIP,La Herradura Industrial Park  ,19.45074236,-70.74300157,2015,private
DOM-TAL,Intercontinental ,18.56054395,-70.07035003,2015,private
DOM-6NO,Zona Franca 6 de Noviembre ,18.43423576,-70.07709655,2016,private
DOM-INE,Parque Industrial INETAB ,19.48954984,-70.72195582,2016,private
DOM-CAD,Los Candelones ,19.55066181,-70.85609369,2017,private
DOM-LEO,Parque Industrial Eduardo León Jiménes ,19.46227703,-70.671318,2018,private
DOM-FLO,La Flor Dominicana ,19.48619912,-70.62006966,2019,private
DOM-VER,Luperón Verde ,19.79325036,-70.68090459,2019,private
DOM-ZFE,Zona Franca Mao Zofinma ,19.5537545,-71.09166028,NA,na
